state,poverty,no_highschool
AL,19.30,17.40
AK,11.20,9.70
AZ,18.20,15.40
AR,18.90,16.80
CA,16.40,19.10
CO,12.00,10.80
CT,10.80,11.60
DE,12.50,13.40
DC,17.70,12.00
FL,16.50,14.60
GA,18.30,16.40
HI,11.40,9.70
ID,14.80,11.90
IL,14.40,13.40
IN,15.20,14.00
IA,12.20,9.60
KS,13.60,11.10
KY,19.10,17.30
LA,19.80,18.00
ME,14.10,9.40
MD,10.10,11.90
MA,11.60,11.20
MI,16.20,11.60
MN,11.50,9.00
MS,21.50,19.10
MO,15.50,12.90
MT,15.40,8.90
NE,12.40,10.50
NV,15.20,16.70
NH,9.20,8.80
NJ,11.10,12.50
NM,21.30,17.40
NY,15.90,15.20
NC,17.20,15.70
ND,11.50,9.30
OH,15.80,12.20
OK,16.60,14.70
OR,16.60,11.50
PA,13.60,11.90
RI,14.30,15.10
SC,18.00,16.20
SD,14.20,10.80
TN,18.30,16.00
TX,17.20,19.40
UT,11.70,10.00
VT,12.20,8.70
VA,11.80,12.90
WA,13.20,11.00
WV,18.30,16.60
WI,13.20,10.30
WY,11.20,8.70
